name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score
XGBoost_RandomOverSampler_FDR_0.5,0.07625682161103266,0.4685125134034801,0.06203868308781679,0.11627906976744186,0.3333333333333333,0.07042253521126761,0.9129549503690506
LogisticRegressionElasticNet_Baseline_SFM_LogReg_mean,0.057523707196815474,0.06212333881523171,0.060900889556449775,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionBase_RandomOverSampler_SFM_LogReg_mean,0.05719043787427107,0.06229263964543175,0.06084895758715625,0.1285310734463277,0.674074074074074,0.07103825136612021,0.8429625858997201
LogisticRegressionRidge_Baseline_SFM_LogReg_mean,0.05712380218781394,0.062217912170373146,0.060844429683948695,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_RandomOverSampler_SFM_LogReg_mean,0.057192087178835456,0.06230118441585251,0.06080468298378058,0.1285310734463277,0.674074074074074,0.07103825136612021,0.8429625858997201
LogisticRegressionBase_Baseline_SFM_LogReg_mean,0.05712848703760401,0.062183192701704956,0.06075456276134637,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionElasticNet_RandomOverSampler_SFM_LogReg_mean,0.057192087178835456,0.06224544157519583,0.06073742410678373,0.1285310734463277,0.674074074074074,0.07103825136612021,0.8429625858997201
LogisticRegressionRidge_RandomOverSampler_SFM_LogReg_mean,0.057192087178835456,0.062211848771850764,0.0606957256623602,0.1285310734463277,0.674074074074074,0.07103825136612021,0.8429625858997201
XGBoost_RandomOverSampler_FDR_0.05,0.0693176203712279,0.47836708402146916,0.060656669721296186,0.13192612137203166,0.37037037037037035,0.08025682182985554,0.9162636803257826
LogisticRegressionLasso_Baseline_SFM_LogReg_mean,0.05733840317109962,0.061778776449045725,0.060638332925093116,0.0,0.0,0.0,0.9828200559938916
XGBoost_Baseline_SFM_GB_1.5mean,0.06955257465097374,0.5155105741716074,0.06058060859994365,0.0,0.0,0.0,0.9821837617714431
XGBoost_Baseline_FDR_0.05,0.06928486116919595,0.4740878407798978,0.06028923537320539,0.0,0.0,0.0,0.9820565029269535
XGBoost_Baseline_SFM_GB_mean,0.06843948696873023,0.45286244712398177,0.060081808695599745,0.0,0.0,0.0,0.9825655383049122
XGBoost_RandomOverSampler_None,0.057814871128577736,0.4762251304758479,0.06004663759104447,0.11233211233211234,0.34074074074074073,0.06725146198830409,0.9074828200559939
XGBoost_RandomOverSampler_SFM_GB_1.5mean,0.07136280928569821,0.4866825796699725,0.059456918497672706,0.11918951132300358,0.37037037037037035,0.07102272727272728,0.9059557139221176
LogisticRegressionBase_Baseline_SFM_LogReg_1.5mean,0.05468390749312965,0.05890258304047631,0.05820234954802652,0.0,0.0,0.0,0.9828200559938916
